"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PM20D1",1441.02757724474,6.35232517637524,0.701751653531445,6.51254400157164e-21,9.59975067828473e-19
"MMP11",5627.66250649854,-3.33178875682622,0.370294411089469,1.11763893282428e-20,1.63110020605027e-18
"OR9K2",17.3695350428525,4.81078556679533e-07,0.00144269507721603,1.15534795837099e-20,1.67391500577315e-18
"OR5T1",19.5170817468264,4.59903979199332e-07,0.00144269507381236,1.4226585582213e-20,2.0463766340343e-18
"OR51G2",21.3711878158617,5.03294594087296e-07,0.00144269508106967,1.6378348767947e-20,2.3390621804738e-18
"NDUFA7",80574.9137331368,1.12727094419569,0.125920302875916,1.66604500934941e-20,2.36247545510157e-18
"CST8",15.122013270445,4.70404833352663e-07,0.00144269507539878,2.09872392749338e-20,2.95506240889455e-18
"ANKRD29",435.748129239374,1.98805035776525,0.22292742644273,2.35223622965235e-20,3.28885392836847e-18
"PHYHIP",318.257495667311,3.49282281097934,0.392600116327181,2.69501033569253e-20,3.74194698971086e-18
"CACNA1G",216.236670457708,3.19879572827199,0.360671735370824,3.4840921380841e-20,4.80420263509334e-18
"SCN2B",79.4018851667287,3.39609996624951,0.383201128571165,3.5583469471703e-20,4.86622186304816e-18
"BSX",15.0421485325976,4.38416128030411e-07,0.00144269505641662,3.57774639325837e-20,4.86622186304816e-18
"TP53TG3C",253.110841213768,7.71053367632187,0.87147861039876,3.728999745952e-20,5.03767708922731e-18
"PRAMEF3",14.8357540883455,4.56819920746846e-07,0.00144269507322402,3.78717267613614e-20,5.0819282205816e-18
"SPAG11B",120.860303405512,3.75869394160796e-07,0.00144269506212908,3.83725212855244e-20,5.11480127055183e-18
"TPRX2P",14.8422859062972,4.67071818675591e-07,0.00144269507485461,4.62486492336079e-20,6.12381121044209e-18
"GPX5",14.6953935570135,4.52768181118501e-07,0.00144269507258809,4.98776939286261e-20,6.56088560795362e-18
"OR51G1",14.3146680249333,4.61974595105372e-07,0.00144269507402489,6.00477966892045e-20,7.84703037257487e-18
"IFNA14",23.0525834475456,4.39758029956079e-07,0.00144269507084696,8.12386474952443e-20,1.05473085585709e-17
"WFDC10A",14.1005455077946,4.42289300816134e-07,0.00144269505437949,8.25995811150441e-20,1.06548130633174e-17
"ARHGAP6",225.278353792358,2.10479967332468,0.240006231545738,8.66869166321189e-20,1.10440581097237e-17
"PRAMEF20",14.1039887788866,4.58532125931015e-07,0.001442695073476,8.67218727231478e-20,1.10440581097237e-17
"OR1A2",13.8022906594953,4.73076474154405e-07,0.00144269507579807,9.3896277864509e-20,1.18820391115379e-17
"MAGEB18",13.5655614581927,4.59254289672577e-07,0.00144269507356251,9.62900537947982e-20,1.21083228652402e-17
"MTHFD2",1984.42863884878,-1.77325468862152,0.202832140480597,1.05022231046909e-19,1.31238405471994e-17
"GFRA4",13.5257775812361,4.56354143542987e-07,0.00144269507310918,1.26790426975036e-19,1.57456384903036e-17
"LPHN3",276.310633593397,3.39503964797897,0.389697444609995,1.38695265075312e-19,1.71177353698506e-17
"TNXB",3912.69647376126,2.41912219176827,0.277068174499971,1.44526975436516e-19,1.77280512078387e-17
"OR5H15",22.162682819498,4.14914603535581e-07,0.00144269506716994,1.50141693535992e-19,1.83044696375526e-17
"RPP14",15458.974237115,1.20199930558591,0.136738527938674,1.52866054563086e-19,1.85236599692991e-17
"FAT4",324.061315586993,2.04975035618179,0.23579854788267,1.7106373354529e-19,2.0603905352437e-17
"OR4L1",22.2864774888696,4.09852530920943e-07,0.00144269506644953,1.89914436712404e-19,2.27374206444779e-17
"OR4A5",83.4634097997805,3.80669599263914e-07,0.00144269506273573,1.95512103716248e-19,2.32682678672778e-17
"OR4K15",80.1545186013959,3.74591948296386e-07,0.00144269506193805,2.40962916130055e-19,2.85077665390788e-17
"COL17A1",1912.36219010269,1.82316866951496,0.415784122349921,2.67017103393767e-19,3.1404352736794e-17
"OR6C68",74.6164560668189,3.75525776167641e-07,0.00144269506205381,3.14462289835007e-19,3.67681814208253e-17
"CLRN2",20.9279376198675,4.2139885108734e-07,0.00144269506809286,3.2351597842707e-19,3.76068515852956e-17
"OR4C15",20.8576387526529,4.23658532525796e-07,0.00144269506842127,3.26946004815054e-19,3.77858868223826e-17
"OR4K5",72.5790876820028,3.73898903464217e-07,0.0014426950618405,3.55811598144022e-19,4.08856154786872e-17
"KRTAP19-3",20.5467525927201,4.23719643565725e-07,0.00144269506842728,4.16538924474606e-19,4.75901671768302e-17
"KRTAP13-1",69.1511103356488,9.29515079319476e-08,0.00144269503920462,4.38474749945033e-19,4.98117281272784e-17
"H2AFX",1847.31868632529,-1.71877473017368,0.201344627623781,4.6401511528442e-19,5.2415357146874e-17
"SPTBN4",200.96752434334,2.30369189155291,0.269049339864561,5.40688456817044e-19,6.07332865483145e-17
"MAB21L1",152.081121526511,2.7781615442573,0.324809777401031,5.58837714833748e-19,6.24212361474076e-17
"AC011298.1",64.1651154764708,3.66779782102718e-07,0.00144269505329307,6.1344868636992e-19,6.81405168626677e-17
"OR7A10",62.436044503386,3.5046084971183e-07,0.00144269505888864,6.84737117938057e-19,7.56388615251575e-17
"OR5M8",62.5011779224353,3.73693310431603e-07,0.00144269506180067,6.97584803058787e-19,7.6634673364601e-17
"OR5D18",56.3175660096458,3.774479696957e-07,0.0014426950622765,7.04706411405788e-19,7.69939890144663e-17
"OR7C2",51.8326387094375,3.80236164703082e-07,0.00144269506263113,7.42395208579992e-19,8.06709228279802e-17
"MYF5",30.7574944231844,3.98391965059704e-07,0.00144269506497574,8.00804957067916e-19,8.65475368195455e-17
"RPL10L",60.0743224528355,3.7364663363002e-07,0.00144269506179081,8.12166695516177e-19,8.68366893590933e-17
"OR4K14",44.8285499172924,4.0049369389802e-07,0.00144269506534619,8.11116463933961e-19,8.68366893590933e-17
"ZCCHC13",29.4438829430386,4.01064709056988e-07,0.00144269506533388,8.41289342237465e-19,8.94720165356164e-17
"OR4D10",44.1040025442659,3.39186415623098e-07,0.00144269505749843,8.82145781975626e-19,9.33207553694215e-17
"PRAMEF2",55.0861794945287,3.8886895564661e-07,0.00144269506378958,9.56215988405528e-19,1.00624118274632e-16
"KRTAP4-8",44.5560633563681,3.74241528347318e-07,0.00144269506182742,9.96255067194201e-19,1.04288606353303e-16
"PAPPA2",82.3835790418543,3.76280065604615,0.44368637123578,1.03973155485976e-18,1.08272878686802e-16
"OR5D16",53.4351843774359,3.7667087551563e-07,0.00144269506216967,1.04815359060324e-18,1.08584367308399e-16
"OR9G1",54.2555390630802,3.78805125474991e-07,0.00144269506245148,1.120726390404e-18,1.15504141493493e-16
"NOVA1",553.970072146494,3.04845220471059,0.360049960828696,1.14416759089187e-18,1.17315316986113e-16
"OR8K3",54.6393111429904,3.56143226811913e-07,0.00144269505957032,1.21428813246211e-18,1.23869780206365e-16
"RP11-477N12.3",54.3629762131831,3.71540070703325e-07,0.00144269506150874,1.24775072326334e-18,1.26637197771204e-16
"MS4A12",54.4080113440298,3.70469350221664e-07,0.00144269506145143,1.25766445695415e-18,1.26998702789603e-16
"ATP1A2",428.009806809927,3.30975674755335,0.391704311864143,1.32623785360989e-18,1.31924376343663e-16
"TGIF2LX",34.6901742523898,3.90090899017387e-07,0.00144269506387684,1.32519075022819e-18,1.31924376343663e-16
"OR10K2",33.0639555414431,3.90480674280572e-07,0.00144269506391864,1.31465260572914e-18,1.31924376343663e-16
"AL390778.1",44.9660432621057,3.79525815296945e-07,0.00144269506251957,1.35578335145028e-18,1.34195704598499e-16
"TRIM77",53.3169407539541,3.40769021632642e-07,0.00144269505771361,1.36374125608553e-18,1.34318436818591e-16
"KRTAP19-1",18.8715492968038,4.13910082904466e-07,0.00144269506698728,1.37983879397186e-18,1.35237729640555e-16
"NEUROG1",35.9458713456339,3.88499853345778e-07,0.00144269506367101,1.39596272105009e-18,1.36150627535002e-16
"HAL",440.903041160477,4.04906209420697,0.480428082146928,1.61414664454803e-18,1.56666252481035e-16
"KRTAP24-1",39.045490480522,3.7731881023008e-07,0.00144269506220406,1.66407532124765e-18,1.60731990207853e-16
"SVEP1",777.763025285724,1.87882348544103,0.222895096788479,1.7653616436069e-18,1.69695387991713e-16
"TM4SF19",8929.68225148974,0.987316134998564,0.115753796433087,2.03807750107365e-18,1.94972830413716e-16
"OR10AG1",48.4125130596903,3.79224771191394e-07,0.0014426950624937,2.05653415959938e-18,1.95801638033477e-16
"RAI2",417.426028763779,2.03408602553327,0.242279340971887,2.07201871585696e-18,1.96340958316796e-16
"OR10P1",29.56806908549,3.97005408478082e-07,0.00144269506477847,2.0921896763395e-18,1.97317171644962e-16
"DEFB118",28.902870722746,3.92502047473549e-07,0.00144269506416242,2.10304734682271e-18,1.97409993673114e-16
"OR8K5",24.1019032312672,4.44040944066596e-07,0.00144269507151186,2.15093565050846e-18,2.00961716804982e-16
"OR4F6",27.4720582477251,3.95722847779771e-07,0.00144269506458485,2.23073075039571e-18,2.07447584294938e-16
"ATP5EP2",11.0496772529715,4.19410022249334e-07,0.00144269504944676,2.38661302627069e-18,2.20916392811371e-16
"KRTAP21-2",23.6438458412279,4.38036531071699e-07,0.00144269507059193,2.55437180747371e-18,2.3535534524714e-16
"OR10H4",30.9404211302457,3.89937026621066e-07,0.00144269506383295,2.59628076676225e-18,2.38119438764424e-16
"EBLN1",27.8667337395422,3.91757573516365e-07,0.00144269506405372,2.68210940984357e-18,2.44868016166266e-16
"OR4C16",23.468675839713,4.66090673606074e-07,0.00144269507497374,2.70278990027276e-18,2.45634460300243e-16
"SPAG11A",45.2453297830344,4.12953308183424e-07,0.00144269506710857,2.74283580866395e-18,2.48145969042656e-16
"RFPL3",10.7439561582754,4.32696429116525e-07,0.00144269506937584,2.93744753753934e-18,2.64555522817845e-16
"SLCO6A1",33.4862810885753,3.8278590545572e-07,0.001442695062899,3.05217051394419e-18,2.73655144644843e-16
"MAGEB5",18.3540222973887,4.07941933890538e-07,0.00144269506613252,3.09135465683092e-18,2.75931004503024e-16
"KRTAP19-7",17.6730093738043,4.05019360864515e-07,0.00144269506571213,3.13876390222086e-18,2.7891753538224e-16
"ZNF223",4032.40473296755,2.35741129306976,0.28150686885862,3.23405308494431e-18,2.86113528231755e-16
"OR5L1",42.9759166619668,3.67740837181506e-07,0.00144269506099393,3.3706635511232e-18,2.96885669784833e-16
"OR6C76",42.7560713257303,3.69246067693703e-07,0.00144269506118515,3.69336963110576e-18,3.23882598264599e-16
"SIGLEC5",1340.96560704818,2.12421758076009,0.254786026485306,3.76002963056967e-18,3.28288351238471e-16
"TCP11X2",42.5291213849106,3.72502996602092e-07,0.00144269506160237,3.89159367335611e-18,3.38297930022096e-16
"KCNJ12",256.727804022525,3.95667612670314,0.475399424335417,3.91844716966203e-18,3.39157717360271e-16
"KRTAP9-9",40.7353182011119,3.72362448313208e-07,0.00144269506157812,4.23442445616408e-18,3.64927080071313e-16
"OR51F2",50.3669177774439,3.70798921189432e-07,0.00144269506140488,4.29548166575037e-18,3.68600259334819e-16
"OR4K1",42.4780888978455,3.72505129249146e-07,0.00144269506160248,4.47173844186033e-18,3.80459312368321e-16
"CRYGA",17.2379890002209,4.06494765212866e-07,0.0014426950659128,4.46853620870833e-18,3.80459312368321e-16
"CNN1",3454.92322793456,2.56172116633414,0.307668258333011,4.70007372959708e-18,3.98191839616797e-16
"CSF3",382.183799249195,5.40138866259322,0.650977545835028,4.79178280371645e-18,4.04248545896653e-16
"KRTAP9-8",39.3335999991739,3.71892566026444e-07,0.00144269506151236,4.91439063975492e-18,4.12850111139748e-16
"OR8J3",38.9864262014008,3.72254561634093e-07,0.00144269506155769,5.10768103234623e-18,4.25512394003044e-16
"OR51S1",39.5196284093384,3.72255731815091e-07,0.00144269506155989,5.10376473075911e-18,4.25512394003044e-16
"FAM90A26",841.393952848619,3.88413460293889,0.468463428472093,5.20349629703269e-18,4.31695871215234e-16
"RP11-171N4.2",44.4018419030347,3.74305484838406e-07,0.00144269506184116,5.25373952873219e-18,4.34063091477155e-16
"OR5D13",38.7007352995622,3.72219672337953e-07,0.00144269506155205,5.4282257049144e-18,4.46633517465262e-16
"ANK2",1857.61214049426,2.41184685701404,0.29035767456332,5.53574182810868e-18,4.53613205373791e-16
